sheet,id,title,journal,year_pub,art_status,art_doi,art_hint,art_tried,art_file,wp_status,wp_series_used,wp_hint,wp_tried,wp_file,excel_wp_yes,excel_wp_doi,excel_wp_series,excel_wp_year
AER,AER_2023_Janssen,Retail Pharmacies and Drug Diversion during the Opioid Epidemic,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_title_fallback,NBER,,official_host:IFN|title_fallback:NBER,pdfs\wps\AER_2023_Janssen_WP.pdf,1,,IFN,2020.0
AER,AER_2023_Korovkin,Conflict and Intergroup Trade: Evidence from the 2014 Russia-Ukraine Crisis,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_title_fallback,NBER,,official_host:SSRN|title_fallback:NBER,pdfs\wps\AER_2023_Korovkin_WP.pdf,1,,SSRN,2021.0
AER,AER_2023_Currie,What Caused Racial Disparities in Particulate Exposure to Fall? New Evidence from the Clean Air Act and Satellite-Based Measures of Air Quality,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_official,NBER,,official_host:NBER,pdfs\wps\AER_2023_Currie_WP.pdf,1,,NBER,2020.0
AER,AER_2023_ East,Multigenerational Impacts of Childhood Access to the Safety Net: Early Life Exposure to Medicaid and the Next Generation's Health,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_official,NBER,,official_host:NBER,pdfs\wps\AER_2023_East_WP.pdf,1,,NBER,2017.0
AER,AER_2023_Wolitzky,Unobserved-Offers Bargaining,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,no_wp,,,,pdfs\wps\AER_2023_Wolitzky_WP.pdf,0,,,0.0
AER,AER_2023_Bombardini,Did US Politicians Expect the China Shock?,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_official,NBER,,official_host:NBER,pdfs\wps\AER_2023_Bombardini_WP.pdf,1,,NBER,2020.0
AER,AER_2023_Onuchic,Signaling and Discrimination in Collaborative Projects,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_official,NBER,,official_host:NBER,pdfs\wps\AER_2023_Onuchic_WP.pdf,1,,NBER,2021.0
AER,AER_2023_Frandsen,Judging Judge Fixed Effects,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_official,NBER,,official_host:NBER,pdfs\wps\AER_2023_Frandsen_WP.pdf,1,,NBER,2019.0
AER,AER_2023_Braxton,Technological Change and the Consequences of Job Loss,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,no_wp,,,,pdfs\wps\AER_2023_Braxton_WP.pdf,0,,,
AER,AER_2023_Lind,Trade with Correlation,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_official,NBER,,official_host:NBER,pdfs\wps\AER_2023_Lind_WP.pdf,1,,NBER,2018.0
AER,AER_2023_Lanteri,Constrained-Efficient Capital Reallocation,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_official,NBER,,official_host:NBER,pdfs\wps\AER_2023_Lanteri_WP.pdf,1,,NBER,2021.0
AER,AER_2023_Saccardo,Enabling or Limiting Cognitive Flexibility? Evidence of Demand for Moral Commitment,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_s2_wp,,,official_host:CESIFO|title_fallback:NBER|title_fallback:IZA|title_fallback:SSRN|s2:https://escholarship.org/content/qt0874x1wz/qt0874x1wz.pdf?t=rt2a73,pdfs\wps\AER_2023_Saccardo_WP.pdf,1,,CESifo,2020.0
AER,AER_2023_Rafey,"Droughts, Deluges, and (River) Diversions: Valuing Market-Based Water Reallocation",AER,2023,SKIPPED_WP_ONLY_MODE,,,,,no_wp,,,,pdfs\wps\AER_2023_Rafey_WP.pdf,0,,,
AER,AER_2023_Sampson,"Technology Gaps, Trade, and Income",AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_title_fallback,NBER,,official_host:CESIFO|title_fallback:NBER,pdfs\wps\AER_2023_Sampson_WP.pdf,1,,CESifo,2019.0
AER,AER_2023_Banerjee,Electronic Food Vouchers: Evidence from an At-Scale Experiment in Indonesia,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,no_wp,,,,pdfs\wps\AER_2023_Banerjee_WP.pdf,0,,,
AER,AER_ 2023_Gorodnichenko,The Voice of Monetary Policy,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_official,NBER,,official_host:NBER,pdfs\wps\AER_2023_Gorodnichenko_WP.pdf,1,,NBER,2021.0
AER,AER_2023_Okeke,When a Doctor Falls from the Sky: The Impact of Easing Doctor Supply Constraints on Mortality,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_title_fallback,NBER,,official_host:RAND|title_fallback:NBER,pdfs\wps\AER_2023_Okeke_WP.pdf,1,,RAND,2021.0
AER,AER_2023_Covert,Relinquishing Riches: Auctions versus Informal Negotiations in Texas Oil and Gas Leasing,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_official,NBER,,official_host:NBER,pdfs\wps\AER_2023_Covert_WP.pdf,1,,NBER,2019.0
AER,AER_2023_Bauer,"An Alternative Explanation for the ""Fed Information Effect""",AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_official,NBER,,official_host:NBER,pdfs\wps\AER_2023_Bauer_WP.pdf,1,,NBER,2020.0
AER,AER_2023_Carlino,Partisanship and Fiscal Policy in Economic Unions: Evidence from US States,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_title_fallback,NBER,,official_host:FEDERAL RESERVE BANK PHILADELPHIA|title_fallback:NBER,pdfs\wps\AER_2023_Carlino_WP.pdf,1,,Federal Reserve Bank Philadelphia,2020.0
AER,AER_2023_Guryan,Not Too Late: Improving Academic Outcomes among Adolescents,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_official,NBER,,official_host:NBER,pdfs\wps\AER_2023_Guryan_WP.pdf,1,,NBER,2021.0
AER,AER_2023_deJanvry,"Subjective Performance Evaluation, Influence Activities, and Bureaucratic Work Behavior: Evidence from China",AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_title_fallback,NBER,,official_host:CEGA|title_fallback:NBER,pdfs\wps\AER_2023_de Janvry_WP.pdf,1,,CEGA,2020.0
AER,AER_2023_Djourelova,Persuasion through Slanted Language: Evidence from the Media Coverage of Immigration,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_title_fallback,NBER,,official_host:UPF|title_fallback:NBER,pdfs\wps\AER_2023_Djourelova_WP.pdf,1,,upf,2020.0
AER,AER_2023_Corrao,Nonlinear Pricing with Underutilization: A Theory of Multi-part Tariffs,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,no_wp,,,,pdfs\wps\AER_2023_Corrao_WP.pdf,0,,,
AER,AER_2023_Boehm,The Long and Short (Run) of Trade Elasticities,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_official,NBER,,official_host:NBER,pdfs\wps\AER_2023_Boehm_WP.pdf,1,,NBER,2020.0
AER,AER_2023_Sraer,How to Use Natural Experiments to Estimate Misallocation,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_official,NBER,,official_host:NBER,pdfs\wps\AER_2023_Sraer_WP.pdf,1,,NBER,2018.0
AER,AER_2023_Antràs,Globalization and Pandemics,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_official,NBER,,official_host:NBER,pdfs\wps\AER_2023_Antràs_WP.pdf,1,,NBER,2020.0
AER,AER_2023_Patterson,"The Matching Multiplier and the 
Amplification of Recessions",AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_title_fallback,NBER,,official_host:CES|official_host:U.S. CENSUS BUREAU|title_fallback:NBER,pdfs\wps\AER_2023_Patterson_WP.pdf,1,,"CES, U.S. Census Bureau",2022.0
AER,AER_2023_Kuhn,What Happens When Employers Can No Longer Discriminate in Job Ads?,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_official,NBER,,official_host:NBER,pdfs\wps\AER_2023_Kuhn_WP.pdf,1,,NBER,2021.0
AER,AER_2023_Ainsworth,"Why Do Households Leave School Value Added on the Table? The Roles of Information and Preferences
Table? The Roles of Information and Preferences",AER,2023,SKIPPED_WP_ONLY_MODE,,,,,MANUAL_NEEDED,,https://ideas.repec.org/cgi-bin/htsearch?q=Why+Do+Households+Leave+School+Value+Added+on+the+Table%3F+The+Roles+of+Information+and+Preferences%0ATable%3F+The+Roles+of+Information+and+Preferences+Ainsworth,official_host:NBER|title_fallback:IZA|title_fallback:CESIFO|title_fallback:SSRN,pdfs\wps\AER_2023_Ainsworth_WP.pdf,1,,NBER,2020.0
